manifest_row_id	symbol	file	delete_category	edge_kind	production_callers	test_callers	outside_prod_caller_files	outside_test_caller_files	caller_evidence	disposition_row_ref	note
# GENERIC-M10B-DELETION-MANIFEST-S0 frozen manifest (2026-09-24). Deletion authority for M10b-I0-R0: the atomic commit removes exactly the edges/files pinned here. Columns: delete_category 1=ordered retry scheduler, 2=post-effect retry debt, 3=private continuation/error-to-None, 4=Generic V0/V1 registry handler/predicate, 5=nested Generic .ok()/retry, 6=old JoinIR caller/physical, 7=new-subtree AST facade, 8=env flag. edge_kind file=whole file neutralized then dies caller-zero at R1; edge=symbol-level edge inside a retained file; decl=parent mod declaration edge. production_callers/test_callers = live outside-candidate-set callers re-derived at freeze; '-' = not applicable. Caller names enumerated when count <= 10.
# Section A: 24 neutralize-first file rows (file dies with its edges)
A01	mir::builder::control_flow::facts::canon::generic_loop	src/mir/builder/control_flow/facts/canon/generic_loop.rs	7	file	1	0	src/mir/builder/control_flow/facts/canon.rs	-	rg:canon::generic_loop::|mod generic_loop	edge:mir/builder/control_flow/facts/canon/generic_loop	facade file: #[allow(unused_imports)] pub use generic_loop_canon::* re-exports (new-subtree AST-helper facade); parent decl canon.rs:7 removed same commit
A02	mir::builder::control_flow::plan::generic_loop::facts::extract	src/mir/builder/control_flow/plan/generic_loop/facts/extract/mod.rs	4	file	3	1	src/mir/builder/control_flow/plan/facts/mod.rs;src/mir/builder/control_flow/plan/facts/loop_builder.rs;src/mir/builder/control_flow/plan/loop_cond/break_continue_helpers.rs	src/mir/builder/control_flow/plan/normalizer/cond_lowering_if_plan_port_tests.rs	rg:generic_loop::facts::extract	edge:mir/builder/control_flow/plan/generic_loop/facts/extract/mod	outside imports of observe_generic_loop_carrier_observation + extract::{v0,v1} symbols; test_support import in port tests dies with file
A03	mir::builder::control_flow::plan::generic_loop::facts	src/mir/builder/control_flow/plan/generic_loop/facts/mod.rs	4	file	3	0	src/mir/builder/control_flow/plan/planner/context.rs;src/mir/builder/control_flow/plan/mod.rs;src/mir/builder/control_flow/plan/facts/loop_builder.rs	-	rg:generic_loop::facts::(non-extract symbols)	edge:mir/builder/control_flow/plan/generic_loop/facts/mod	GenericLoopFactsPolicyFrameV1 re-export consumed by planner/context.rs:1, plan/mod.rs:50, loop_builder.rs:30
A04	mir::builder::control_flow::plan::generic_loop::facts_types	src/mir/builder/control_flow/plan/generic_loop/facts_types.rs	4	file	4	0	src/mir/builder/control_flow/plan/facts/loop_types.rs;src/mir/builder/control_flow/plan/facts/mod.rs;src/mir/builder/control_flow/plan/mod.rs;src/mir/builder/control_flow/plan/recipe_tree/matcher/patterns.rs	-	rg:generic_loop::facts_types	edge:mir/builder/control_flow/plan/generic_loop/facts_types	GenericLoopV1Facts + GenericLoopCarrierObservationV1 consumers re-point to loop_structural_facts/generic_g0 or drop with their callers' edges
A05	mir::builder::control_flow::plan::generic_loop	src/mir/builder/control_flow/plan/generic_loop/mod.rs	4	edge	7	1	src/mir/builder/control_flow/plan/mod.rs;src/mir/builder/control_flow/plan/facts/mod.rs;src/mir/builder/control_flow/plan/facts/loop_builder.rs;src/mir/builder/control_flow/plan/facts/loop_types.rs;src/mir/builder/control_flow/plan/planner/context.rs;src/mir/builder/control_flow/plan/loop_cond/break_continue_helpers.rs;src/mir/builder/control_flow/plan/recipe_tree/matcher/patterns.rs	src/mir/builder/control_flow/plan/normalizer/cond_lowering_if_plan_port_tests.rs	rg:plan::generic_loop + mod decl	edge:mir/builder/control_flow/plan/generic_loop/mod	neutralize-first: mod.rs survives as decl shell (hosts M11 located_representation + R1 generic-only children); the M10b edge is plan/mod.rs:67 decl removal only after children re-home, plus subtree caller disconnect recorded on A02-A04
A06	mir::policies::generic_loop_overlap_policy	src/mir/policies/generic_loop_overlap_policy.rs	4	file	1	0	src/mir/policies/mod.rs	-	rg:generic_loop_overlap_policy	edge:mir/policies/generic_loop_overlap_policy	policies/mod.rs:17 decl dies same commit; zero other callers
A07	mir::policies::generic_loop_v1_shape	src/mir/policies/generic_loop_v1_shape.rs	4	file	1	0	src/mir/policies/mod.rs	-	rg:generic_loop_v1_shape	edge:mir/policies/generic_loop_v1_shape	policies/mod.rs:18 decl dies same commit; zero other callers
A08	mir::builder::control_flow::joinir::route_entry::registry::execution_witness	src/mir/builder/control_flow/joinir/route_entry/registry/execution_witness.rs	2	file	0	0	-	-	rg:RouteExecutionWitnessV1|registry::execution_witness	edge:mir/builder/control_flow/joinir/route_entry/registry/execution_witness	retry witness executor (issue/execute_selected_in_order/RouteExecutionDeclineV1::consume_at/execute_legacy_policy_parity_v1); zero outside callers — dies with the scheduler edge S01-S03
A09	mir::builder::control_flow::joinir::route_entry::registry::legacy_receipt	src/mir/builder/control_flow/joinir/route_entry/registry/legacy_receipt.rs	2	file	1	1	src/mir/builder.rs	src/mir/shared_loop_source_window_tests.rs	rg:registry::legacy_receipt|LegacyGeneric	edge:mir/builder/control_flow/joinir/route_entry/registry/legacy_receipt	decline/legacy receipt types; builder.rs + one window test reference removed same commit
A10	mir::builder::control_flow::plan::features::generic_loop_body	src/mir/builder/control_flow/plan/features/generic_loop_body/mod.rs	6	file	2	0	src/mir/builder/control_flow/plan/features/mod.rs;src/mir/builder/normal_callable_loop_source_facts/generic.rs	-	rg:generic_loop_body	edge:mir/builder/control_flow/plan/features/generic_loop_body	features/mod.rs:18 decl + generic.rs source-facts reference
A11	mir::builder::control_flow::plan::features::generic_loop_context	src/mir/builder/control_flow/plan/features/generic_loop_context.rs	6	file	3	1	src/mir/builder/control_flow/plan/features/mod.rs;src/mir/builder/normal_callable_loop_physical_adapter.rs;src/mir/builder/raw_loop_child_entry.rs	src/mir/builder/control_flow/plan/normalizer/cond_lowering_freshen/final_values_tests.rs	rg:generic_loop_context	edge:mir/builder/control_flow/plan/features/generic_loop_context	GenericLoopV1LoweringContext consumers: physical adapter + raw_loop_child_entry neutralized same commit
A12	mir::builder::control_flow::plan::features::generic_loop_handoff	src/mir/builder/control_flow/plan/features/generic_loop_handoff.rs	6	file	1	0	src/mir/builder/control_flow/plan/features/mod.rs	-	rg:generic_loop_handoff	edge:mir/builder/control_flow/plan/features/generic_loop_handoff	features/mod.rs:20 decl only
A13	mir::builder::control_flow::plan::features::generic_loop_located_composer	src/mir/builder/control_flow/plan/features/generic_loop_located_composer.rs	6	file	1	0	src/mir/builder/control_flow/plan/features/mod.rs	-	rg:generic_loop_located_composer	edge:mir/builder/control_flow/plan/features/generic_loop_located_composer	features/mod.rs:21 decl only
A14	mir::builder::control_flow::plan::features::generic_loop_p0c_tests	src/mir/builder/control_flow/plan/features/generic_loop_p0c_tests.rs	6	file	1	0	src/mir/builder/control_flow/plan/features/mod.rs	-	rg:generic_loop_p0c_tests	edge:mir/builder/control_flow/plan/features/generic_loop_p0c_tests	test-only file; features/mod.rs:23 decl dies with it
A15	mir::builder::control_flow::plan::features::generic_loop_pipeline	src/mir/builder/control_flow/plan/features/generic_loop_pipeline.rs	6	file	1	0	src/mir/builder/control_flow/plan/features/mod.rs	-	rg:generic_loop_pipeline	edge:mir/builder/control_flow/plan/features/generic_loop_pipeline	features/mod.rs:24 decl only
A16	mir::builder::control_flow::plan::features::generic_loop_step	src/mir/builder/control_flow/plan/features/generic_loop_step.rs	6	file	1	0	src/mir/builder/control_flow/plan/features/mod.rs	-	rg:generic_loop_step	edge:mir/builder/control_flow/plan/features/generic_loop_step	features/mod.rs:25 decl only
A17	mir::builder::control_flow::plan::features::generic_loop_whole_parity_tests	src/mir/builder/control_flow/plan/features/generic_loop_whole_parity_tests.rs	6	file	1	0	src/mir/builder/control_flow/plan/features/mod.rs	-	rg:generic_loop_whole_parity_tests	edge:mir/builder/control_flow/plan/features/generic_loop_whole_parity_tests	test-only file; features/mod.rs:27 decl dies with it
