# MIR-AUTHORITY-ROLE-MANIFEST0-D0 — authority-role census
# columns: path	role	owner	evidence
# roles: meaning | substrate | host/backend | oracle | quarantine
# scope: src/** (src/mir expanded to second level), lang/**,
#        named compat/bootstrap/tooling roots below.
# exclusions (non-source roots, own owners or transient):
#   target/, build/, dist/, tmp/, logs/, artifacts/, sessions/,
#   docs/ (docs topology has own owner), .git/, .devin/, .github/,
#   .claude/, .cargo/, .nekocode/, node_modules/
# rule: every in-scope root has exactly one role; unnamed middle
#   ownership is zero; unknown external callers are a non-claim;
#   no default fallback is implied by any row.
src/	meaning	src/mir root census + module README	crate root wiring + root-level semantic helpers
src/abi	substrate	src/mir root census + module README	runtime ABI shims / return-proof wire facts
src/analysis	meaning	src/mir root census + module README	program analysis / declaration catalogs
src/ast	meaning	src/mir root census + module README	AST definitions
src/backend	host/backend	src/mir root census + module README	aot/codegen backends
src/benchmarks	oracle	src/mir root census + module README	benchmark harness
src/bid	substrate	src/mir root census + module README	box-id registry / plugin metadata loader
src/bin	host/backend	src/mir root census + module README	executable entry points
src/box_callable	substrate	src/mir root census + module README	callable-box registry/providers
src/box_factory	substrate	src/mir root census + module README	builtin box construction
src/boxes	substrate	src/mir root census + module README	builtin box runtime implementations
src/cli	host/backend	src/mir root census + module README	CLI surface
src/config	host/backend	src/mir root census + module README	env/config ingestion surface
src/core	substrate	src/mir root census + module README	core runtime boxes / instance lifecycle
src/debug	substrate	src/mir root census + module README	debug hub / logging substrate
src/grammar	meaning	src/mir root census + module README	grammar declarations
src/host_providers	host/backend	src/mir root census + module README	host provider implementations
src/llvm_py	host/backend	src/mir root census + module README	LLVM python bridge codegen
src/macro	meaning	src/mir root census + module README	macro / derive support
src/messaging	substrate	src/mir root census + module README	message bus
src/parser	meaning	src/mir root census + module README	parser
src/providers	substrate	src/mir root census + module README	ring1 capability providers
src/ring0	substrate	src/mir root census + module README	ring0 layer guard / minimal runtime
src/runner	host/backend	src/mir root census + module README	build/run orchestration surface
src/runtime	substrate	src/mir root census + module README	VM/runtime substrate
src/semantics	meaning	src/mir root census + module README	semantic contracts
src/stage1	quarantine	src/mir root census + module README	phase-1 compat bootstrap boundary (program_json_v0)
src/stdlib	substrate	src/mir root census + module README	Rust stdlib box impls
src/syntax	meaning	src/mir root census + module README	surface syntax / sugar
src/tests	oracle	src/mir root census + module README	in-tree test modules
src/tokenizer	meaning	src/mir root census + module README	tokenizer
src/transport	substrate	src/mir root census + module README	in-process transport
src/type_abi	substrate	src/mir root census + module README	type ABI catalog for box calls
src/using	meaning	src/mir root census + module README	using/import resolution policy
