# MIR-CONTEXT-OWNER-CENSUS0-D0 — builder mutable context field census
# columns: struct	field	type	role	writers	readers	lifetime	disposition
MirBuilder	current_module	Option<MirModule>	session	11 (src/mir/builder/fact_session_p0_tests.rs)	55	invocation	MirBuilder owner (builder context seam)
MirBuilder	function_state	function_lowering_state::FunctionLoweringStateV1	session	1 (src/mir/builder/module_lifecycle.rs)	399	invocation	MirBuilder owner (builder context seam)
MirBuilder	core_ctx	CoreContext	session	2 (src/mir/builder/builder_init.rs)	26	invocation	MirBuilder owner (builder context seam)
MirBuilder	scope_ctx	scope_context::ScopeContext	session	1 (src/mir/builder/calls/context_lifecycle.rs)	9	invocation	MirBuilder owner (builder context seam)
MirBuilder	metadata_ctx	metadata_context::MetadataContext<crate::ast::Span	session	3 (src/mir/builder/builder_metadata.rs)	37	invocation	MirBuilder owner (builder context seam)
MirBuilder	comp_ctx	compilation_context::CompilationContext	session	2 (src/mir/builder/module_lifecycle.rs)	99	invocation	MirBuilder owner (builder context seam)
MirBuilder	recursion_depth	usize	session	11 (src/mir/builder/module_lowering_invocation_reentrant_tests.rs)	28	invocation	MirBuilder owner (builder context seam)
MirBuilder	root_is_app_mode	Option<bool>	options	3 (src/mir/builder/program_root_lowering.rs)	6	invocation	MirBuilder owner (builder context seam)
MirBuilder	repl_mode	bool	options	4 (src/mir/builder/module_invocation_session.rs)	14	invocation	MirBuilder owner (builder context seam)
ScopeContext	debug_scope_stack	Vec<String>	session	2 (src/mir/builder/scope_context.rs)	6	function	ScopeContext owner (builder context seam)
CompilationContext	compilation_context	Option<BoxCompilationContext>	session	5 (src/mir/builder/module_invocation_session_p0.rs)	10	session	CompilationContext owner (builder context seam)
CompilationContext	current_static_box	Option<String>	session	5 (src/mir/builder/compilation_context.rs)	14	session	CompilationContext owner (builder context seam)
CompilationContext	callable_main_compatibility_policy	?	environment	3 (src/mir/builder/module_lifecycle.rs)	5	module	CompilationContext owner (builder context seam)
CompilationContext	emit_debug_policy	?	environment	4 (src/mir/builder/receiver.rs)	9	module	CompilationContext owner (builder context seam)
CompilationContext	user_defined_boxes	HashMap<String	catalog	2 (src/mir/builder/module_finalization_declaration_metadata.rs)	14	module	CompilationContext owner (builder context seam)
CompilationContext	brand_decls	HashMap<String	catalog	1 (src/mir/builder/compilation_context/declarations.rs)	4	module	CompilationContext owner (builder context seam)
CompilationContext	user_box_field_decls	HashMap<String	catalog	4 (src/mir/builder/module_finalization_declaration_metadata.rs)	49	module	CompilationContext owner (builder context seam)
CompilationContext	record_decls	HashMap<String	catalog	3 (src/mir/builder/module_finalization_declaration_metadata.rs)	19	module	CompilationContext owner (builder context seam)
CompilationContext	record_field_defaults	HashMap<String	catalog	1 (src/mir/builder/compilation_context/declarations.rs)	4	module	CompilationContext owner (builder context seam)
CompilationContext	enum_decls	HashMap<String	catalog	4 (src/mir/builder/compilation_context.rs)	23	module	CompilationContext owner (builder context seam)
CompilationContext	callable_declaration_catalog	Option<CallableDeclarationCatalogStorageV1>	catalog	1 (src/mir/builder/compilation_context.rs)	32	module	CompilationContext owner (builder context seam)
CompilationContext	static_scalar_method_facts	HashMap<String	catalog	1 (src/mir/builder/compilation_context.rs)	1	module	CompilationContext owner (builder context seam)
CompilationContext	weak_fields_by_box	HashMap<String	catalog	0 (-)	3	module	CompilationContext owner (builder context seam)
CompilationContext	property_registry	PropertyRegistry	catalog	0 (-)	1	module	CompilationContext owner (builder context seam)
CompilationContext	field_origin_class	HashMap<(ValueId	scratch	1 (src/mir/builder/compilation_context.rs)	4	module	CompilationContext owner (builder context seam)
CompilationContext	field_origin_by_box	HashMap<(String	catalog	1 (src/mir/builder/compilation_context.rs)	5	module	CompilationContext owner (builder context seam)
CompilationContext	using_import_boxes	HashMap<String	catalog	3 (src/mir/builder/compilation_context.rs)	6	module	CompilationContext owner (builder context seam)
CompilationContext	method_tail_index	MethodTailIndexV1	catalog	2 (src/mir/builder/builder_method_index.rs)	4	module	builder_method_index owner (split S0)
CompilationContext	type_registry	TypeRegistry	catalog	0 (-)	11	module	CompilationContext owner (builder context seam)
