# MIR-LEGACY-JOINMODULE-DISPOSITION0-D0 — legacy JoinModule disposition receipt
# columns: path	kind	disposition	owner	caller_evidence	default_fallback	removal_when
# dispositions: retain | quarantine | retire
# scope: every file producing/consuming/defining join_ir::JoinModule under src/**
# rule: no route deleted or activated; no default fallback; unknown external
#       callers are a non-claim. All rows are `retain` because every unit has
#       a live caller: join_ir/lowering is oracle-only (mir_joinir tests),
#       normalized_shadow is the strict/dev-gated StepTree observability lane
#       (single entry: run_function_body_step_tree_guard_v1, no-op when
#       !strict && !dev). builder/control_flow/joinir/** merge machinery uses
#       join_ir *types* (JoinFuncId, error_tags), not JoinModule — it is the
#       retained production merge path, outside this boundary.
src/mir/join_ir/mod.rs	definition	retain	join_ir module (JoinModule + impls + inline tests)	normalized_shadow producers + verifier + join_ir/lowering producers + mir_joinir tests	none	retire with the last JoinModule producer/consumer
src/mir/join_ir/lowering/canonical_names.rs	producer	retain	join_ir::lowering (oracle family)	src/tests/mir_joinir_{min,funcscanner_trim,skip_ws}.rs + src/tests/joinir/lowering (oracle-only; no production caller)	none	retire when mir_joinir oracle tests retire or gain a non-JoinModule fixture
src/mir/join_ir/lowering/common/dispatch.rs	producer	retain	join_ir::lowering (oracle family)	src/tests/mir_joinir_{min,funcscanner_trim,skip_ws}.rs + src/tests/joinir/lowering (oracle-only; no production caller)	none	retire when mir_joinir oracle tests retire or gain a non-JoinModule fixture
src/mir/join_ir/lowering/common/target_adapter.rs	producer	retain	join_ir::lowering (oracle family)	src/tests/mir_joinir_{min,funcscanner_trim,skip_ws}.rs + src/tests/joinir/lowering (oracle-only; no production caller)	none	retire when mir_joinir oracle tests retire or gain a non-JoinModule fixture
src/mir/join_ir/lowering/funcscanner_trim.rs	producer	retain	join_ir::lowering (oracle family)	src/tests/mir_joinir_{min,funcscanner_trim,skip_ws}.rs + src/tests/joinir/lowering (oracle-only; no production caller)	none	retire when mir_joinir oracle tests retire or gain a non-JoinModule fixture
src/mir/join_ir/lowering/funcscanner_trim/builder.rs	producer	retain	join_ir::lowering (oracle family)	src/tests/mir_joinir_{min,funcscanner_trim,skip_ws}.rs + src/tests/joinir/lowering (oracle-only; no production caller)	none	retire when mir_joinir oracle tests retire or gain a non-JoinModule fixture
src/mir/join_ir/lowering/funcscanner_trim/dispatch.rs	producer	retain	join_ir::lowering (oracle family)	src/tests/mir_joinir_{min,funcscanner_trim,skip_ws}.rs + src/tests/joinir/lowering (oracle-only; no production caller)	none	retire when mir_joinir oracle tests retire or gain a non-JoinModule fixture
src/mir/join_ir/lowering/generic_case_a/mod.rs	producer	retain	join_ir::lowering (oracle family)	src/tests/mir_joinir_{min,funcscanner_trim,skip_ws}.rs + src/tests/joinir/lowering (oracle-only; no production caller)	none	retire when mir_joinir oracle tests retire or gain a non-JoinModule fixture
src/mir/join_ir/lowering/generic_case_a/skip_ws.rs	producer	retain	join_ir::lowering (oracle family)	src/tests/mir_joinir_{min,funcscanner_trim,skip_ws}.rs + src/tests/joinir/lowering (oracle-only; no production caller)	none	retire when mir_joinir oracle tests retire or gain a non-JoinModule fixture
src/mir/join_ir/lowering/generic_case_a/trim.rs	producer	retain	join_ir::lowering (oracle family)	src/tests/mir_joinir_{min,funcscanner_trim,skip_ws}.rs + src/tests/joinir/lowering (oracle-only; no production caller)	none	retire when mir_joinir oracle tests retire or gain a non-JoinModule fixture
src/mir/join_ir/lowering/loop_to_join/case_a_entrypoints.rs	producer	retain	join_ir::lowering (oracle family)	src/tests/mir_joinir_{min,funcscanner_trim,skip_ws}.rs + src/tests/joinir/lowering (oracle-only; no production caller)	none	retire when mir_joinir oracle tests retire or gain a non-JoinModule fixture
src/mir/join_ir/lowering/loop_to_join/core.rs	producer	retain	join_ir::lowering (oracle family)	src/tests/mir_joinir_{min,funcscanner_trim,skip_ws}.rs + src/tests/joinir/lowering (oracle-only; no production caller)	none	retire when mir_joinir oracle tests retire or gain a non-JoinModule fixture
src/mir/join_ir/lowering/loop_to_join/mod.rs	producer	retain	join_ir::lowering (oracle family)	src/tests/mir_joinir_{min,funcscanner_trim,skip_ws}.rs + src/tests/joinir/lowering (oracle-only; no production caller)	none	retire when mir_joinir oracle tests retire or gain a non-JoinModule fixture
src/mir/join_ir/lowering/loop_view_builder.rs	producer	retain	join_ir::lowering (oracle family)	src/tests/mir_joinir_{min,funcscanner_trim,skip_ws}.rs + src/tests/joinir/lowering (oracle-only; no production caller)	none	retire when mir_joinir oracle tests retire or gain a non-JoinModule fixture
src/mir/join_ir/lowering/simple_while_minimal.rs	producer	retain	join_ir::lowering (oracle family)	src/tests/mir_joinir_{min,funcscanner_trim,skip_ws}.rs + src/tests/joinir/lowering (oracle-only; no production caller)	none	retire when mir_joinir oracle tests retire or gain a non-JoinModule fixture
src/mir/join_ir/lowering/skip_ws.rs	producer	retain	join_ir::lowering (oracle family)	src/tests/mir_joinir_{min,funcscanner_trim,skip_ws}.rs + src/tests/joinir/lowering (oracle-only; no production caller)	none	retire when mir_joinir oracle tests retire or gain a non-JoinModule fixture
src/mir/join_ir/lowering/skip_ws/builder.rs	producer	retain	join_ir::lowering (oracle family)	src/tests/mir_joinir_{min,funcscanner_trim,skip_ws}.rs + src/tests/joinir/lowering (oracle-only; no production caller)	none	retire when mir_joinir oracle tests retire or gain a non-JoinModule fixture
