record_kind	id	pack	production_caller	new_owner	delete_target	parity_gate	disposition	state
cell	CALLABLE-DRAFT-PORT-CUTOVER0	DESCENT-SPINE0	calls/lowering.rs:ordinary-static+instance	port_aware_function_draft_impl.rs	build_static_method_draft_v1+build_instance_method_draft_v1+lower_function_body+lower_method_body	cargo-test:callable-draft	-	closed
cell	CALLABLE-DRAFT-COLLECTOR-CUTOVER0	FUNCTION-LIFECYCLE0	module-lifecycle:function-publication	module_draft_collector.rs	direct-per-function-publication	cargo-test:module-collector	-	closed
cell	MODULE-CANDIDATE-SESSION-CUTOVER0	MODULE-LIFECYCLE0	compiler:legacy-build-module	module_invocation_session.rs	live-builder-module-mutation	cargo-test:compiler-reuse	-	closed
cell	LOCAL-STATEMENT-DESCENT-CUTOVER0	DESCENT-SPINE0	raw_expression_dispatch/statement_surface.rs:ASTNode::Local	stmts/local_statement_descent.rs:drive_local_statement_v1	variable_stmt::build_local_statement+local_statement_descent::drive_raw_local_statement_v1	cargo-test:local-statement	-	closed
cell	VARIABLE-ASSIGNMENT-DESCENT-CUTOVER0	DESCENT-SPINE0	raw_expression_dispatch:Variable-target+GroupedAssignmentExpr	stmts/variable_assignment_descent.rs:drive_variable_assignment_v1	variable_assignment_descent::drive_raw_variable_assignment_v1+builder_build::build_grouped_assignment	cargo-test:variable-assignment	-	closed
cell	RETURN-SOURCE-PARTITION-CUTOVER0	DESCENT-SPINE0	raw_expression_dispatch/statement_surface.rs:ASTNode::Return(Some+None)	return_statement_descent::drive_value_return_statement_v1+return_stmt::build_void_return_statement	return_stmt::build_return_statement+return_statement_descent::drive_raw_value_return_statement_v1	cargo-test:return-statement	-	closed
cell	BINARY-SOURCE-PARTITION-CUTOVER0	DESCENT-SPINE0	raw_expression_dispatch/mod.rs:ASTNode::BinaryOp	ops/binary_expression_descent.rs:drive_ordinary_binary_expression_v1+ops/short_circuit_expression_descent.rs:drive_short_circuit_expression_v1	ops/mod.rs:build_binary_op+binary_expression_descent.rs:drive_raw_ordinary_binary_expression_v1+short_circuit_expression_descent.rs:drive_raw_short_circuit_expression_v1	cargo-test:binary-expression+short-circuit	-	closed
cell	RECORD-HELPER-BODY-DESCENT0	DESCENT-SPINE0	record_helper_args.rs:lower_record_helper_body_until_return	calls/method_call_descent.rs:MethodCallArgumentDescentV1::lower_catalog_helper_child	record_helper_args.rs:self.build_expression+self.build_statement+try_inline_same_module_helper_setter_call+try_inline_same_module_helper_setter_call_with_descent+try_inline_same_module_helper_setter_call_from_receiver_with_descent	cargo-test:record-helper+shell:allocator-record-construction	-	closed
cell	FIELD-PROPERTY-GETTER-DESCENT0	CALL-OBJECT0	raw_expression_dispatch/mod.rs:ASTNode::FieldAccess	property_reads.rs:try_lower_property_read_with_port_v1+method_call_handlers.rs:handle_standard_method_call_with_descent	property_reads::try_lower_property_read+method_call_handlers::handle_standard_method_call+calls/method_call_descent::LegacyMethodCallArgumentsV1+fields::build_field_access	cargo-test:mir-unified-members-property-read+member-route	-	closed
cell	NORMAL-DEFAULT-PUBLISHED-PIPELINE0-I0-R0	COMPILER-RESIDUE0	four-selected-normal-source-sites	compiler/normal_default_pipeline.rs:selected-typed-request+candidate-finish-publication	selected-normal-generic-Legacy-ingress	cargo-test:normal-pipeline-parity+reuse	-	closed
cell	NORMAL-DEFAULT-ROOT-CATALOG-LIFECYCLE0-I0-R0	MODULE-LIFECYCLE0	compiler/normal_default_pipeline.rs:selected-normal-root	builder/normal_default_root_catalog_lifecycle.rs	session.builder_mut().build_module+ExistingGeneralModuleCompatibilityV1	cargo-test:root-catalog-lifecycle+normal-pipeline-parity+reuse	-	closed
cell	RAW-NONPROGRAM-PORT-NEUTRAL-EXPR-DESCENT0-I0-R0	DESCENT-SPINE0	module_lifecycle.rs:non-Program-root	raw_nonprogram_root_descent.rs:PreparedRawNonProgramRootV1+RawInvocationChildPortV1	module_lifecycle.rs:self.build_expression(other)	cargo-test:raw-nonprogram-root	-	closed
cell	RAW-NONPROGRAM-AWAIT-COMPOSITIONAL-DESCENT0-I0-R0	DESCENT-SPINE0	raw_nonprogram_root_descent.rs:safe-Await	async_stmt.rs:build_await_expression_with_port_v1	safe-Await-to-raw-compatibility	cargo-test:raw-nonprogram-root+normal-parity	-	closed
cell	RAW-NONPROGRAM-CHECK-COMPOSITIONAL-DESCENT0-I0-R0	DESCENT-SPINE0	raw_nonprogram_root_descent.rs:safe-Check	exprs_check.rs:build_check_expression_with_port_v1	safe-Check-to-raw-compatibility	cargo-test:raw-nonprogram-root+normal-parity	-	closed
cell	RAW-NONPROGRAM-PRINT-ROOT-DESCENT0-I0-R0	DESCENT-SPINE0	raw_nonprogram_root_descent.rs:safe-Print	print_stmt.rs:build_print_statement_with_port_v1	safe-Print-to-raw-compatibility	cargo-test:raw-nonprogram-root+normal-parity	-	closed
cell	RAW-NONPROGRAM-NOWAIT-ROOT-DESCENT0-I0-R0	DESCENT-SPINE0	raw_nonprogram_root_descent.rs:safe-Nowait	async_stmt.rs:build_nowait_statement_with_port_v1	safe-Nowait-to-raw-compatibility	cargo-test:raw-nonprogram-root+normal-parity	-	closed
